Power (KW)
0.00018580075
0.00018580075
0.00018580075
0.00018580075
0.00018580075
0.00018580075
-0.008515695
0.014020513
0.25944838
0.04572992
0.30046043
0.27852407
1.1417751
1.0935075
1.4134157
1.5727804
1.6947249
1.487761
0.7730166
0.49890155
-0.007999031
0.00018580075
0.00018580075
0.00018580075
